STATE,PLANT,LAT,LON,COAL,OIL,GAS,NUCLEAR,HYDRO,BIOMASS,WIND,SOLAR,GEOTHERMAL,OTHER,TOTAL GENERATION,PERCENT COAL,PERCENT OIL,PERCENT GAS,PERCENT NUCLEAR,PERCENT HYDRO,PERCENT BIOMASS,PERCENT WIND,PERCENT SOLAR,PERCENT GEOTHERMAL,PERCENT OTHER,TOTAL RENEWABLE,TOTAL NONRENEWABLE,PERCENT RENEWABLE,PERCENT NONRENEWABLE
AK,ALAKANUK,62.6833,-164.6544,0.0,"1,859.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,859.0",0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"1,859.0",0.00%,100.00%
AK,ANCHORAGE 1,61.2328,-149.8909,0.0,366.5,"55,061.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"55,428.0",0.00%,0.66%,99.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"55,428.0",0.00%,100.00%
AK,ANGOON,57.8425,-134.9772,0.0,"1,928.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,928.0",0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"1,928.0",0.00%,100.00%
AK,ANIAK,61.5875,-159.5317,0.0,"2,725.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,725.0",0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"2,725.0",0.00%,100.00%
AK,ANNEX CREEK,58.3167,-134.0958,0.0,0.0,0.0,0.0,"26,436.0",0.0,0.0,0.0,0.0,0.0,"26,436.0",0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,"26,436.0",0.0,100.00%,0.00%
AK,AUKE BAY,58.3861,-134.6389,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,335.0,0.00%,100.00%
AK,AURORA ENERGY LLC CHENA,64.8461,-147.7286,"204,196.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"204,196.0",100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"204,196.0",0.00%,100.00%
AK,BARROW,71.2789,-156.7981,0.0,0.0,"49,803.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"49,803.0",0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"49,803.0",0.00%,100.00%
AK,BEAVER FALLS,55.3633,-131.6778,0.0,0.0,0.0,0.0,"40,956.0",0.0,0.0,0.0,0.0,0.0,"40,956.0",0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,"40,956.0",0.0,100.00%,0.00%
AK,BELUGA,61.1861,-151.0356,0.0,0.0,"2,240,960.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,240,960.0",0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"2,240,960.0",0.00%,100.00%
AK,BERNICE LAKE,60.6935,-151.3874,0.0,0.0,"24,555.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"24,555.0",0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"24,555.0",0.00%,100.00%
AK,BETHEL,60.7897,-161.7878,0.0,"41,926.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"41,926.0",0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,"41,926.0",0.00%,100.00%
