STATE,PLANT,LAT,LON,COAL,OIL,GAS,NUCLEAR,HYDRO,BIOMASS,WIND,SOLAR,GEOTHERMAL,OTHER,TOTAL GENERATION,PERCENT COAL,PERCENT OIL,PERCENT GAS,PERCENT NUCLEAR,PERCENT HYDRO,PERCENT BIOMASS,PERCENT WIND,PERCENT SOLAR,PERCENT GEOTHERMAL,PERCENT OTHER,TOTAL RENEWABLE,TOTAL NONRENEWABLE,PERCENT RENEWABLE,PERCENT NONRENEWABLE
AK,7-Mile Ridge Wind Project,63.210689,-143.247156,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%
AK,Agrium Kenai Nitrogen Operations,60.6732,-151.3784,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%
AK,Alakanuk,62.6833,-164.6544,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%
AK,Allison Creek Hydro,61.084444,-146.353333,0,0,0,0,"23,077",0,0,0,0,0,"23,077",0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,"23,077",0,100.00%,0.00%
AK,Ambler,67.08798,-157.856719,0,"1,206",0,0,0,0,0,0,0,0,"1,206",0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,"1,206",0.00%,100.00%
AK,Anchorage 1,61.2221,-149.8661,0,80,"28,857",0,0,0,0,0,0,0,"28,937",0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,"28,937",0.00%,100.00%
AK,Angoon,57.499166,-134.58614,0,"1,653",0,0,0,0,0,0,0,0,"1,653",0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,"1,653",0.00%,100.00%
AK,Aniak,61.580678,-159.535643,0,"2,174",0,0,0,0,0,0,0,0,"2,174",0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,"2,174",0.00%,100.00%
AK,Annex Creek,58.3176,-134.101,0,0,0,0,"26,657",0,0,0,0,0,"26,657",0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,"26,657",0,100.00%,0.00%
AK,Auke Bay,58.3875,-134.6446,0,-88,0,0,0,0,0,0,0,0,-88,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,-88,0.00%,100.00%
